taxon	projection	kingdom	phylum	class	order	family	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
Archaea||Aenigmarchaeota||Aenigmarchaeia||Aenigmarchaeales||Incertae Sedis	full	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Incertae Sedis	-3.60583580259814e-06	-1.04775892026309e-05	4.65235405424289e-06	-2.7300130964069e-06	1.29341843250299e-05	-1.49765055162792e-05	-1.68601562840358e-06	6.54489256128849e-06
Archaea||Aenigmarchaeota||Deep Sea Euryarchaeotic Group(DSEG)||Incertae Sedis||Incertae Sedis	full	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic Group(DSEG)	Incertae Sedis	Incertae Sedis	-1.61691923250551e-06	-3.5192790522609e-06	-3.02760980867844e-06	-4.65988548205981e-06	1.59595561544656e-05	-2.53799871266502e-06	-3.66976162603783e-07	-4.24682523661457e-08
Archaea||Altiarchaeota||Altiarchaeia||Altiarchaeales||Altiarchaeaceae	full	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	-2.04398785064175e-06	-3.29761188717914e-06	-2.20281780336992e-06	-3.25149295709974e-06	1.46791183093329e-05	-1.3111383853061e-05	-2.00662003335952e-05	3.00131886257771e-06
Archaea||Asgardarchaeota||Incertae Sedis||Incertae Sedis||Incertae Sedis	full	Archaea	Asgardarchaeota	Incertae Sedis	Incertae Sedis	Incertae Sedis	3.57065564060566e-08	1.0661944427337e-07	1.45838838783163e-08	2.13222087291909e-07	-2.34528238496345e-08	-3.27983860209935e-07	4.62082694784732e-07	9.23496016463909e-08
Archaea||Asgardarchaeota||Lokiarchaeia||Incertae Sedis||Incertae Sedis	full	Archaea	Asgardarchaeota	Lokiarchaeia	Incertae Sedis	Incertae Sedis	-2.78523136498787e-07	-1.15127286093308e-06	1.1454320620434e-06	-1.13243589228151e-06	3.05802184810688e-06	4.22375859510105e-07	-5.22884544978258e-07	1.06021499066133e-07
Archaea||Halobacteriota||ANME-1||ANME-1b||Incertae Sedis	full	Archaea	Halobacteriota	ANME-1	ANME-1b	Incertae Sedis	1.0842021724855e-19	-2.22044604925031e-16	-9.43689570931383e-16	3.88578058618805e-16	-4.44089209850063e-16	3.88578058618805e-16	6.93889390390723e-17	1.2490009027033e-16
Archaea||Halobacteriota||Archaeoglobi||Archaeoglobales||Archaeoglobaceae	full	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	-6.7762635780344e-21	1.38777878078145e-17	5.55111512312578e-16	2.77555756156289e-17	-9.0205620750794e-17	1.66533453693773e-16	4.5102810375397e-17	8.46545056276682e-16
Archaea||Halobacteriota||Halobacteria||Halobacterales||Halobacteriaceae	full	Archaea	Halobacteriota	Halobacteria	Halobacterales	Halobacteriaceae	-6.1350129995331e-05	-5.33048698109218e-05	4.70651501960351e-05	-1.34425989095441e-05	5.59618038742382e-05	-0.000118716730135249	8.92635014079525e-05	-0.000122687314664454
Archaea||Halobacteriota||Halobacteria||Halobacterales||Halococcaceae	full	Archaea	Halobacteriota	Halobacteria	Halobacterales	Halococcaceae	-1.5173308245274e-06	-1.19691351993332e-05	-4.11393571622676e-06	-2.23182048145754e-05	-1.50145845795868e-05	-2.80888303914872e-05	-2.82223761890014e-05	-1.13905787385571e-06
Archaea||Halobacteriota||Halobacteria||Halobacterales||Haloferacaceae	full	Archaea	Halobacteriota	Halobacteria	Halobacterales	Haloferacaceae	-4.1570342009241e-05	-0.000174624968155073	-0.000148727295613466	-0.000261669699863298	3.33141921367297e-06	-0.00030858848832277	-0.000385769477032373	5.90355147943034e-05
Archaea||Halobacteriota||Halobacteria||Halobacterales||Halomicrobiaceae	full	Archaea	Halobacteriota	Halobacteria	Halobacterales	Halomicrobiaceae	1.29062166470993e-05	-0.000126223294559269	-9.96461765362389e-05	-0.000116207963592851	5.08241361171224e-05	-0.000234847496715207	-0.000407999413812296	0.000120283045399738
Archaea||Halobacteriota||Halobacteria||Halobacterales||Incertae Sedis	full	Archaea	Halobacteriota	Halobacteria	Halobacterales	Incertae Sedis	1.64015610421569e-07	1.50482352784682e-06	-1.24744309787719e-06	-1.39362172715263e-05	-9.60704272778834e-06	9.5731316556158e-06	6.06761391663824e-06	-4.80589250395624e-06
Archaea||Halobacteriota||Halobacteria||Halobacterales||NA	full	Archaea	Halobacteriota	Halobacteria	Halobacterales	NA	2.96982392684462e-06	-5.27022768282262e-05	-7.26074730680011e-05	-0.00020244834417707	-0.000107056792754662	-0.000150916353685637	-0.000268604182699483	6.81416097163545e-05
Archaea||Halobacteriota||Incertae Sedis||Incertae Sedis||Incertae Sedis	full	Archaea	Halobacteriota	Incertae Sedis	Incertae Sedis	Incertae Sedis	0	6.7762635780344e-21	4.33680868994202e-19	1.73472347597681e-17	6.93889390390723e-17	6.66133814775094e-16	1.52655665885959e-16	-1.33226762955019e-15
Archaea||Halobacteriota||Methanocellia||Methanocellales||Incertae Sedis	full	Archaea	Halobacteriota	Methanocellia	Methanocellales	Incertae Sedis	0	0	-5.42101086242752e-20	-1.73472347597681e-18	-2.77555756156289e-17	1.38777878078145e-17	0	-2.77555756156289e-16
Archaea||Halobacteriota||Methanocellia||Methanocellales||Methanocellaceae	full	Archaea	Halobacteriota	Methanocellia	Methanocellales	Methanocellaceae	-8.62969046998287e-06	-6.01189785649269e-06	1.23407513732548e-05	2.15221854874459e-06	-1.86367995978244e-06	-3.68145608796305e-05	7.03419437350639e-06	1.06813041791665e-05
Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Incertae Sedis	full	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Incertae Sedis	-3.36789755350716e-06	-2.29725104358547e-06	9.16869596665401e-06	-1.74855718707811e-05	6.19735271154085e-06	-1.14211845442524e-05	-4.21551344065296e-06	6.14321328047673e-06
Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanocorpusculaceae	full	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	-7.13246765480453e-05	-1.72612123597746e-05	7.95555136122888e-06	-0.000213840699556391	0.000110281810663527	8.34669595012397e-05	-0.000114928993350749	-0.000113597948153105
Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanomicrobiaceae	full	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	-1.75492530889275e-05	-1.42955961771012e-05	-1.69202544816531e-06	-2.65773014264798e-05	4.55103384689217e-05	-6.02194073359708e-06	-2.92858106896166e-05	5.2270481595007e-05
Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanoregulaceae	full	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	-5.36171399176668e-06	-2.27477441055957e-05	2.03593368502784e-05	-9.97365842879369e-06	1.9907522796661e-05	1.07678484388743e-05	7.45926217506077e-06	-3.72446685514179e-05
Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanospirillaceae	full	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	8.13334616708271e-07	-1.44764743626631e-05	-1.46251079172214e-05	-3.07932279700758e-05	1.32193582429727e-05	-3.02480177783415e-05	-5.22964628030254e-05	3.01410437269709e-05
Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||NA	full	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	NA	0	-3.02922587604869e-28	-2.58493941422821e-26	1.2573145310806e-22	9.3173624197973e-21	-1.62630325872826e-19	8.67361737988404e-19	4.33680868994202e-18
Archaea||Halobacteriota||Methanosarcinia||Methanosarcinales||ANME-2c	full	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	ANME-2c	-1.18073227900397e-06	-9.61432313051356e-08	-3.93331702253683e-06	-7.67468790951021e-06	3.1811530088423e-06	-3.93949820029791e-06	-8.54606244937066e-06	7.03719110556301e-06
Archaea||Halobacteriota||Methanosarcinia||Methanosarcinales||Methanoperedenaceae	full	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	-3.88567746605478e-05	4.83463374340964e-06	-1.59578849437043e-06	-5.10086561898289e-05	-5.69055123871138e-05	1.90791207453364e-05	-2.36872527620683e-05	-2.92728841768731e-05
Archaea||Halobacteriota||Methanosarcinia||Methanosarcinales||Methanosaetaceae	full	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosaetaceae	-2.98852882843033e-05	-6.64598141095554e-05	-1.41550808036371e-05	-8.36273918924877e-05	3.65026371903687e-05	-3.39837824521245e-05	-9.91834230425485e-05	6.02634957127325e-05
Archaea||Halobacteriota||Methanosarcinia||Methanosarcinales||Methanosarcinaceae	full	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	-0.000243932355048092	-1.44571459179496e-05	-2.63713486128307e-05	-0.000150057013580336	-0.000154890471829719	0.000360100341676201	-0.000399266387380676	-0.000144894365318423
Archaea||Halobacteriota||NA||NA||NA	full	Archaea	Halobacteriota	NA	NA	NA	-9.18779868175915e-07	-1.62325409612616e-05	3.86122300532818e-06	2.93192307256391e-06	3.95372040795051e-06	-1.10862621875538e-06	-3.81029274225422e-06	1.26866225014229e-05
Archaea||Hydrothermarchaeota||Hydrothermarchaeia||Hydrothermarchaeales||Incertae Sedis	full	Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	Incertae Sedis	0	-1.80555932286303e-35	-9.86076131526265e-32	7.57306469012171e-29	5.16987882845642e-26	-8.27180612553028e-24	1.27054942088145e-21	2.5410988417629e-21
Archaea||Iainarchaeota||Iainarchaeia||Iainarchaeales||Iainarchaeaceae	full	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	Iainarchaeaceae	-3.1127298535668e-06	-1.26177544873331e-06	-7.98939836686546e-06	-2.36249792155467e-05	-5.72150048446144e-06	-2.90052462321187e-05	-2.13338697454086e-05	1.44956066929219e-05
Archaea||Iainarchaeota||Iainarchaeia||Iainarchaeales||Incertae Sedis	full	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	Incertae Sedis	0	2.82118644197349e-37	9.62964972193618e-34	1.18329135783152e-30	8.07793566946316e-28	-1.03397576569128e-25	1.65436122510606e-23	3.97046694025453e-23
Archaea||Methanobacteriota||Methanobacteria||Methanobacteriales||Methanobacteriaceae	full	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	-0.0149414567764471	0.00481236808402323	0.00632291909252211	-0.0277896065014766	-0.00246607423600612	0.000978034346452189	-0.00837284635115368	0.0106828782606134
Archaea||Methanobacteriota||Methanobacteria||Methanobacteriales||Methanothermobacteriaceae	full	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteriaceae	-3.82583628602297e-06	-2.59749040844835e-05	-4.24285419063949e-06	-2.14126438818564e-05	3.21905102223245e-06	-2.47371227661899e-05	-9.50706471143063e-06	3.70587936709292e-05
