axis	explained	cumulative	projection
1	0.203485780344833	0.203485780344833	south-asia
2	0.0909247196397565	0.29441049998459	south-asia
3	0.0519002596923422	0.346310759676932	south-asia
4	0.0424880445929003	0.388798804269832	south-asia
5	0.0314179788694192	0.420216783139251	south-asia
6	0.0263636891353976	0.446580472274649	south-asia
7	0.0251200723335589	0.471700544608208	south-asia
8	0.0206288473768305	0.492329391985038	south-asia
9	0.0204478788026633	0.512777270787702	south-asia
10	0.0159576665994475	0.528734937387149	south-asia
11	0.0156373411201912	0.54437227850734	south-asia
12	0.015365441992974	0.559737720500314	south-asia
13	0.0135559856232544	0.573293706123569	south-asia
14	0.0132582081188117	0.586551914242381	south-asia
15	0.0124125003215064	0.598964414563887	south-asia
16	0.0111515922285673	0.610116006792454	south-asia
17	0.0109273576515329	0.621043364443987	south-asia
18	0.0106728285849401	0.631716193028927	south-asia
19	0.0103910070900704	0.642107200118998	south-asia
20	0.0100582707841713	0.652165470903169	south-asia
21	0.00942131996406357	0.661586790867233	south-asia
22	0.00917974662855736	0.67076653749579	south-asia
23	0.00886637400806424	0.679632911503854	south-asia
24	0.00845012489170703	0.688083036395561	south-asia
25	0.00816276709672439	0.696245803492286	south-asia
1	0.2581390460226	0.2581390460226	full
2	0.0586034007637667	0.316742446786367	full
3	0.0467068565379187	0.363449303324285	full
4	0.0388383979721938	0.402287701296479	full
5	0.0302499271432862	0.432537628439765	full
6	0.0269586258030711	0.459496254242837	full
7	0.0250804696946761	0.484576723937513	full
8	0.022581577023121	0.507158300960634	full
9	0.0169520725070674	0.524110373467701	full
10	0.0157889645907222	0.539899338058423	full
11	0.0153715180714112	0.555270856129834	full
12	0.0142430882136468	0.569513944343481	full
13	0.0134642966447465	0.582978240988228	full
14	0.0132459651900598	0.596224206178288	full
15	0.0123105618889661	0.608534768067254	full
16	0.011948365080989	0.620483133148243	full
17	0.0117137336195305	0.632196866767773	full
18	0.0116741727386257	0.643871039506399	full
19	0.0112128308618018	0.655083870368201	full
20	0.0101942896143892	0.66527815998259	full
21	0.0100459429959238	0.675324102978514	full
22	0.0095510082786243	0.684875111257138	full
23	0.00941859874599906	0.694293710003137	full
24	0.00912836780117337	0.70342207780431	full
25	0.00891091560641399	0.712332993410724	full
1	0.26180682244468	0.26180682244468	europe
2	0.0562917711324268	0.318098593577107	europe
3	0.0486541222487582	0.366752715825865	europe
4	0.0350053992453308	0.401758115071196	europe
5	0.0316251318982994	0.433383246969495	europe
6	0.0276741990691677	0.461057446038663	europe
7	0.0247609011245287	0.485818347163191	europe
8	0.0223992527891493	0.508217599952341	europe
9	0.0168333072669983	0.525050907219339	europe
10	0.0165514201437797	0.541602327363119	europe
11	0.0164059686303719	0.558008295993491	europe
12	0.0155853680790556	0.573593664072546	europe
13	0.0144897834364736	0.58808344750902	europe
14	0.0143345280538265	0.602417975562846	europe
15	0.0128137580429694	0.615231733605816	europe
16	0.0123600616354068	0.627591795241222	europe
17	0.0121653187432164	0.639757113984439	europe
18	0.011880555369983	0.651637669354422	europe
19	0.0116217636696005	0.663259433024022	europe
20	0.0110174593511232	0.674276892375146	europe
21	0.0106106728630218	0.684887565238167	europe
22	0.0104317766599888	0.695319341898156	europe
23	0.010161429494448	0.705480771392604	europe
24	0.00998728208875815	0.715468053481362	europe
25	0.00925000173376464	0.724718055215127	europe
1	0.256307690021616	0.256307690021616	non-europe
2	0.0674507672823557	0.323758457303972	non-europe
3	0.0468326475089469	0.370591104812919	non-europe
4	0.0392225135909859	0.409813618403905	non-europe
5	0.028586861238211	0.438400479642116	non-europe
6	0.0277446273930901	0.466145107035206	non-europe
7	0.0240008297810948	0.490145936816301	non-europe
8	0.0216105764569311	0.511756513273232	non-europe
9	0.017742821296975	0.529499334570207	non-europe
10	0.0156130635864312	0.545112398156638	non-europe
11	0.0143997533672837	0.559512151523922	non-europe
12	0.0135103873624196	0.573022538886341	non-europe
13	0.0120107857311443	0.585033324617486	non-europe
14	0.011802313140859	0.596835637758345	non-europe
15	0.0113465859552816	0.608182223713626	non-europe
16	0.0112188718252858	0.619401095538912	non-europe
17	0.0108569268378355	0.630258022376748	non-europe
18	0.0104846955870018	0.640742717963749	non-europe
19	0.0102664748868649	0.651009192850614	non-europe
20	0.0100761132173211	0.661085306067935	non-europe
21	0.00982202714201566	0.670907333209951	non-europe
22	0.00924524671226101	0.680152579922212	non-europe
23	0.00873029489710082	0.688882874819313	non-europe
24	0.00829037927672402	0.697173254096037	non-europe
25	0.00814717658885359	0.70532043068489	non-europe
