"taxon"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Tractidigestivibacter"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Tractidigestivibacter"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Adlercreutzia"
"Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Senegalimassilia"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Senegalimassilia"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"
"Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.NA"	"Bacteria"	"Bacillota"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"NA"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Lactiplantibacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactiplantibacillus"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Limosilactobacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Pediococcus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Pediococcus"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Weissella"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Weissella"
"Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Bacteria.Bacillota.Bacilli.RF39.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Bacillota"	"Bacilli"	"RF39"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae R-7 group"	"Bacteria"	"Bacillota"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	"Christensenellaceae R-7 group"
"Bacteria.Bacillota.Clostridia.Clostridia UCG-014.Incertae Sedis.Incertae Sedis"	"Bacteria"	"Bacillota"	"Clostridia"	"Clostridia UCG-014"	"Incertae Sedis"	"Incertae Sedis"
"Bacteria.Bacillota.Clostridia.Clostridiales.Clostridiaceae.Clostridium"	"Bacteria"	"Bacillota"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"
"Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter"	"Bacteria"	"Bacillota"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Agathobacter"
