"taxon"	"projection"	"kingdom"	"phylum"	"class"	"order"	"family"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"
"Archaea||Aenigmarchaeota||Aenigmarchaeia||Aenigmarchaeales||Incertae Sedis"	"full"	"Archaea"	"Aenigmarchaeota"	"Aenigmarchaeia"	"Aenigmarchaeales"	"Incertae Sedis"	-4.99209627216425e-06	-8.58646965444964e-06	7.26301750611137e-06	-9.4672759415685e-07	1.34252955226176e-05	-2.36347958476321e-05	1.47299427183798e-05	-2.41883495337062e-05
"Archaea||Aenigmarchaeota||Deep Sea Euryarchaeotic Group(DSEG)||Incertae Sedis||Incertae Sedis"	"full"	"Archaea"	"Aenigmarchaeota"	"Deep Sea Euryarchaeotic Group(DSEG)"	"Incertae Sedis"	"Incertae Sedis"	-2.81378872518667e-06	-3.39841353695636e-06	-2.37243075636856e-06	-8.93844061444077e-06	2.99371861689976e-05	-7.42343713153182e-07	-1.80182867319523e-06	-5.35393792869265e-06
"Archaea||Altiarchaeota||Altiarchaeia||Altiarchaeales||Altiarchaeaceae"	"full"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	-3.00325127688961e-06	-2.87349776210977e-06	-1.1687794055984e-06	-4.83432078291889e-06	2.80847730103825e-05	-2.5762615992922e-05	-2.99809644365746e-05	-3.19514060309403e-05
"Archaea||Asgardarchaeota||Incertae Sedis||Incertae Sedis||Incertae Sedis"	"full"	"Archaea"	"Asgardarchaeota"	"Incertae Sedis"	"Incertae Sedis"	"Incertae Sedis"	1.10833793337539e-07	2.80686494380511e-07	-1.88011181512238e-07	-3.54691714209848e-06	-2.49041052596821e-06	1.86912125355043e-06	2.81660766321412e-06	2.13912428384533e-06
"Archaea||Asgardarchaeota||Lokiarchaeia||Incertae Sedis||Incertae Sedis"	"full"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"Incertae Sedis"	"Incertae Sedis"	-2.34065584858723e-07	-8.39294931886947e-07	9.80294599023379e-07	-7.28923030677252e-07	2.27843906613207e-06	1.04976713766192e-06	-9.14333475196538e-07	-4.83318120941822e-08
"Archaea||Halobacteriota||ANME-1||ANME-1b||Incertae Sedis"	"full"	"Archaea"	"Halobacteriota"	"ANME-1"	"ANME-1b"	"Incertae Sedis"	2.16840434497101e-19	-1.66533453693773e-16	-4.44089209850063e-16	-2.77555756156289e-17	0	5.55111512312578e-17	1.66533453693773e-16	-5.55111512312578e-17
"Archaea||Halobacteriota||Archaeoglobi||Archaeoglobales||Archaeoglobaceae"	"full"	"Archaea"	"Halobacteriota"	"Archaeoglobi"	"Archaeoglobales"	"Archaeoglobaceae"	6.7762635780344e-21	2.77555756156289e-17	2.22044604925031e-16	2.08166817117217e-16	-2.81025203108243e-16	6.52256026967279e-16	5.13478148889135e-16	-8.32667268468867e-17
"Archaea||Halobacteriota||Halobacteria||Halobacterales||Halobacteriaceae"	"full"	"Archaea"	"Halobacteriota"	"Halobacteria"	"Halobacterales"	"Halobacteriaceae"	-5.6039832254882e-05	-5.41494469696729e-05	2.4504665981806e-05	-3.74668393710482e-05	7.6191287908034e-05	-0.000117933968142359	-1.88283337804462e-05	8.69288698326087e-05
"Archaea||Halobacteriota||Halobacteria||Halobacterales||Halococcaceae"	"full"	"Archaea"	"Halobacteriota"	"Halobacteria"	"Halobacterales"	"Halococcaceae"	1.24451966199506e-06	-6.89116915562286e-06	-1.60043032913643e-05	-2.46446160117042e-05	-1.19323467449584e-05	-6.37642860380622e-05	-2.93579491240509e-05	-5.0977163731869e-05
"Archaea||Halobacteriota||Halobacteria||Halobacterales||Haloferacaceae"	"full"	"Archaea"	"Halobacteriota"	"Halobacteria"	"Halobacterales"	"Haloferacaceae"	-3.51869859365073e-05	-0.000217695697130736	-0.000160869007348859	-0.000447970831708278	-2.57914392499115e-05	-0.000681862009727197	-0.000629532988841941	-0.000896832528371416
"Archaea||Halobacteriota||Halobacteria||Halobacterales||Halomicrobiaceae"	"full"	"Archaea"	"Halobacteriota"	"Halobacteria"	"Halobacterales"	"Halomicrobiaceae"	1.77084787469263e-05	-0.000165101019917574	-0.000185463877984869	-0.0003890509056651	-7.82231711754788e-05	-0.000725205907055049	-0.000739035315949304	-0.000947487171053599
"Archaea||Halobacteriota||Halobacteria||Halobacterales||Incertae Sedis"	"full"	"Archaea"	"Halobacteriota"	"Halobacteria"	"Halobacterales"	"Incertae Sedis"	3.02455832102567e-07	8.81599493120192e-07	-6.95664918034036e-07	-1.67072476020547e-05	-1.07794781354364e-05	9.31931626192879e-06	9.97206093325542e-06	7.69507614295506e-06
"Archaea||Halobacteriota||Halobacteria||Halobacterales||NA"	"full"	"Archaea"	"Halobacteriota"	"Halobacteria"	"Halobacterales"	NA	5.3558588786852e-06	-6.03596741698172e-05	-5.62247776590089e-05	-0.000309357363735829	-0.000185297163322107	-0.000395238684852306	-0.000354188894600618	-0.000482258340810296
"Archaea||Halobacteriota||Incertae Sedis||Incertae Sedis||Incertae Sedis"	"full"	"Archaea"	"Halobacteriota"	"Incertae Sedis"	"Incertae Sedis"	"Incertae Sedis"	-1.57772181044202e-30	-1.27054942088145e-21	-1.0842021724855e-19	-4.16333634234434e-17	-5.55111512312578e-17	-5.55111512312578e-17	-3.33066907387547e-16	5.55111512312578e-17
"Archaea||Halobacteriota||Methanocellia||Methanocellales||Incertae Sedis"	"full"	"Archaea"	"Halobacteriota"	"Methanocellia"	"Methanocellales"	"Incertae Sedis"	4.93038065763132e-32	1.05879118406788e-22	5.42101086242752e-20	0	4.16333634234434e-17	1.11022302462516e-16	1.66533453693773e-16	-2.22044604925031e-16
"Archaea||Halobacteriota||Methanocellia||Methanocellales||Methanocellaceae"	"full"	"Archaea"	"Halobacteriota"	"Methanocellia"	"Methanocellales"	"Methanocellaceae"	-9.78098143929171e-06	6.99659077784163e-07	1.51015749534719e-05	-6.22174824733111e-06	1.88399140864867e-05	-5.22107067324473e-05	1.26966089407932e-05	-4.19131584874499e-05
"Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Incertae Sedis"	"full"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Incertae Sedis"	-2.5853345209176e-06	4.4517171565904e-06	3.12769860665055e-05	-3.15584016836352e-05	1.87304987858752e-05	-2.15529196661846e-05	1.85830060346059e-05	-3.63135147389768e-05
"Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanocorpusculaceae"	"full"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"	-0.000105196911936634	1.52706536190661e-05	7.71503664713957e-05	-0.000324856909524173	0.000136020560051841	7.85810935493014e-05	-6.49071573409765e-05	-0.000104414970680089
"Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanomicrobiaceae"	"full"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	-2.08085861062258e-05	-1.12425109193815e-05	1.39124708662134e-06	-5.79639232332657e-05	7.86252635546617e-05	-6.39414151576249e-05	3.15138947296068e-05	-0.000180815663385181
"Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanoregulaceae"	"full"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	-1.29120976638369e-05	-7.32839660889405e-06	3.69792776649263e-05	-3.96696601194967e-05	3.83368751343406e-05	-3.44382709241177e-05	1.29831443368422e-05	-6.45902958051892e-05
"Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||Methanospirillaceae"	"full"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanospirillaceae"	-1.59998975130074e-06	-1.37066284489548e-05	-6.54355562200431e-06	-5.20121890516723e-05	2.08759903567494e-05	-9.7193720816912e-05	-2.3692811802839e-05	-0.000166925035918447
"Archaea||Halobacteriota||Methanomicrobia||Methanomicrobiales||NA"	"full"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	NA	0	0	0	0	-6.7762635780344e-21	-2.16840434497101e-19	-1.38777878078145e-17	-1.38777878078145e-17
"Archaea||Halobacteriota||Methanosarcinia||Methanosarcinales||ANME-2c"	"full"	"Archaea"	"Halobacteriota"	"Methanosarcinia"	"Methanosarcinales"	"ANME-2c"	-1.38243383720505e-06	3.49833150339203e-06	-3.01698789326568e-06	-1.78554521537705e-05	1.32073892069901e-05	-1.86761022791451e-05	-9.1250909451876e-08	-5.46983988794734e-05
