"sample"	"group"	"batch"	"sequencer"
"1A"	"charles"	"AA1"	"hiseq"
"2A"	"charles"	"AA1"	"hiseq"
"3A"	"charles"	"AA1"	"hiseq"
"4A"	"charles"	"AA1"	"hiseq"
"5A"	"charles"	"AA1"	"hiseq"
"6A"	"charles"	"AA1"	"hiseq"
"7A"	"charles"	"AA1"	"hiseq"
"8A"	"charles"	"AA1"	"hiseq"
"9A"	"charles"	"AA1"	"hiseq"
"10A"	"charles"	"AA1"	"hiseq"
"11A"	"charles"	"AA1"	"hiseq"
"12A"	"charles"	"AA1"	"hiseq"
"13A"	"charles"	"AA1"	"hiseq"
"14A"	"charles"	"AA1"	"hiseq"
"15A"	"charles"	"AA1"	"hiseq"
"16A"	"charles"	"AA1"	"hiseq"
"17A"	"charles"	"BBB"	"hiseq"
"18A"	"charles"	"AA1"	"hiseq"
"19A"	"charles"	"AA1"	"hiseq"
"20A"	"charles"	"AA1"	"hiseq"
"21A"	"charles"	"AA1"	"hiseq"
"22A"	"charles"	"AA1"	"hiseq"
"23A"	"charles"	"AA1"	"hiseq"
"24A"	"charles"	"AA1"	"hiseq"
"25A"	"charles"	"AA1"	"hiseq"
"26A"	"charles"	"BA2"	"hiseq"
"27A"	"charles"	"AA1"	"hiseq"
"28A"	"charles"	"AA1"	"hiseq"
"29A"	"charles"	"AA1"	"hiseq"
"30A"	"charles"	"AA1"	"hiseq"
"31A"	"charles"	"AA1"	"hiseq"
"32A"	"charles"	"AA1"	"hiseq"
"33A"	"charles"	"AA1"	"hiseq"
"34A"	"charles"	"BBB"	"hiseq"
"35A"	"charles"	"AA1"	"hiseq"
"36A"	"charles"	"AA1"	"hiseq"
"37A"	"charles"	"AA1"	"hiseq"
"38A"	"charles"	"AA1"	"hiseq"
"39A"	"charles"	"AA1"	"hiseq"
"40A"	"charles"	"AA1"	"hiseq"
"41A"	"charles"	"AA1"	"hiseq"
"42A"	"charles"	"AA1"	"hiseq"
"43A"	"charles"	"AA1"	"hiseq"
"44A"	"charles"	"AA1"	"hiseq"
"45A"	"charles"	"AA1"	"hiseq"
"46A"	"charles"	"AA1"	"hiseq"
"47A"	"charles"	"AA1"	"hiseq"
"48A"	"charles"	"AA1"	"hiseq"
"49A"	"charles"	"AA1"	"hiseq"
"50A"	"charles"	"AA1"	"hiseq"
"51A"	"charles"	"AA1"	"hiseq"
"52A"	"charles"	"AA1"	"hiseq"
"53A"	"charles"	"AA1"	"hiseq"
"54A"	"charles"	"AA1"	"hiseq"
"55A"	"charles"	"AA1"	"hiseq"
"56A"	"charles"	"BA2"	"hiseq"
"57A"	"charles"	"BA2"	"hiseq"
"58A"	"charles"	"BA2"	"hiseq"
"59A"	"charles"	"BA2"	"hiseq"
"60A"	"charles"	"BA2"	"hiseq"
"61A"	"charles"	"BA2"	"hiseq"
"62A"	"charles"	"AA1"	"hiseq"
"63A"	"charles"	"AA1"	"hiseq"
"64A"	"charles"	"AA1"	"hiseq"
"65A"	"charles"	"AA1"	"hiseq"
"66A"	"charles"	"AA1"	"hiseq"
"67A"	"charles"	"AA1"	"hiseq"
"68A"	"charles"	"AA1"	"hiseq"
"69A"	"charles"	"AA1"	"hiseq"
"70A"	"charles"	"AA1"	"hiseq"
"71A"	"charles"	"AA1"	"hiseq"
"72A"	"charles"	"AA1"	"hiseq"
"73A"	"charles"	"AA1"	"hiseq"
"74A"	"charles"	"AA1"	"hiseq"
"75A"	"charles"	"AA1"	"hiseq"
"76A"	"charles"	"AA1"	"hiseq"
"77A"	"charles"	"AA1"	"hiseq"
"78A"	"charles"	"AA1"	"hiseq"
"79A"	"charles"	"AA1"	"hiseq"
"80A"	"charles"	"AA1"	"hiseq"
"81A"	"charles"	"AA1"	"hiseq"
"82A"	"charles"	"AA1"	"hiseq"
"83A"	"charles"	"AA1"	"hiseq"
"84A"	"charles"	"AA1"	"hiseq"
"85A"	"charles"	"AA1"	"hiseq"
"86A"	"charles"	"AA1"	"hiseq"
"87A"	"charles"	"AA1"	"hiseq"
"88A"	"charles"	"AA1"	"hiseq"
"89A"	"charles"	"AA1"	"hiseq"
"90A"	"charles"	"AA1"	"hiseq"
"91A"	"charles"	"AA1"	"hiseq"
"92A"	"charles"	"AA1"	"hiseq"
"93A"	"charles"	"AA1"	"hiseq"
"94A"	"charles"	"AA1"	"hiseq"
