col_id	kingdom	phylum	class	order	family	genus
COL1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella
COL2	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium
COL3	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
COL4	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
COL5	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
COL6	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
COL7	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
COL8	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio
COL9	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
COL10	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
COL11	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
COL12	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
COL13	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
COL14	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter
COL15	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
COL16	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter
COL17	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger
COL18	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
COL19	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes
COL20	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Leyella
